t x u
 1.000000 0.023760 0.148735
 1.000000 0.023820 0.149107
 1.000000 0.023880 0.149480
 1.000000 0.023940 0.149853
 1.000000 0.024000 0.150226
 1.000000 0.024060 0.150598
 1.000000 0.024120 0.150971
 1.000000 0.024180 0.151344
 1.000000 0.024240 0.151716
 1.000000 0.024300 0.152089
 1.000000 0.024360 0.152461
 1.000000 0.024420 0.152834
 1.000000 0.024480 0.153207
 1.000000 0.024540 0.153579
 1.000000 0.024600 0.153952
 1.000000 0.024660 0.154324
 1.000000 0.024720 0.154697
 1.000000 0.024780 0.155069
 1.000000 0.024840 0.155441
 1.000000 0.024900 0.155814
 1.000000 0.024960 0.156186
 1.000000 0.025020 0.156559
 1.000000 0.025080 0.156931
 1.000000 0.025140 0.157303
 1.000000 0.025200 0.157676
 1.000000 0.025260 0.158048
 1.000000 0.025320 0.158420
 1.000000 0.025380 0.158792
 1.000000 0.025440 0.159164
 1.000000 0.025500 0.159537
 1.000000 0.025560 0.159909
 1.000000 0.025620 0.160281
 1.000000 0.025680 0.160653
 1.000000 0.025740 0.161025
 1.000000 0.025800 0.161397
 1.000000 0.025860 0.161769
 1.000000 0.025920 0.162141
 1.000000 0.025980 0.162513
 1.000000 0.026040 0.162885
 1.000000 0.026100 0.163257
 1.000000 0.026160 0.163629
 1.000000 0.026220 0.164001
 1.000000 0.026280 0.164373
 1.000000 0.026340 0.164745
 1.000000 0.026400 0.165116
 1.000000 0.026460 0.165488
 1.000000 0.026520 0.165860
 1.000000 0.026580 0.166232
 1.000000 0.026640 0.166604
 1.000000 0.026700 0.166975
 1.000000 0.026760 0.167347
 1.000000 0.026820 0.167719
 1.000000 0.026880 0.168090
 1.000000 0.026940 0.168462
 1.000000 0.027000 0.168833
 1.000000 0.027060 0.169205
 1.000000 0.027120 0.169577
 1.000000 0.027180 0.169948
 1.000000 0.027240 0.170320
 1.000000 0.027300 0.170691
 1.000000 0.027360 0.171062
 1.000000 0.027420 0.171434
 1.000000 0.027480 0.171805
 1.000000 0.027540 0.172177
 1.000000 0.027600 0.172548
 1.000000 0.027660 0.172919
 1.000000 0.027720 0.173291
 1.000000 0.027780 0.173662
 1.000000 0.027840 0.174033
 1.000000 0.027900 0.174404
 1.000000 0.027960 0.174776
 1.000000 0.028020 0.175147
 1.000000 0.028080 0.175518
 1.000000 0.028140 0.175889
 1.000000 0.028200 0.176260
 1.000000 0.028260 0.176631
 1.000000 0.028320 0.177002
 1.000000 0.028380 0.177373
 1.000000 0.028440 0.177744
 1.000000 0.028500 0.178115
 1.000000 0.028560 0.178486
 1.000000 0.028620 0.178857
 1.000000 0.028680 0.179228
 1.000000 0.028740 0.179599
 1.000000 0.028800 0.179970
 1.000000 0.028860 0.180341
 1.000000 0.028920 0.180711
 1.000000 0.028980 0.181082
 1.000000 0.029040 0.181453
 1.000000 0.029100 0.181824
 1.000000 0.029160 0.182194
 1.000000 0.029220 0.182565
 1.000000 0.029280 0.182936
 1.000000 0.029340 0.183306
 1.000000 0.029400 0.183677
 1.000000 0.029460 0.184047
 1.000000 0.029520 0.184418
 1.000000 0.029580 0.184788
 1.000000 0.029640 0.185159
 1.000000 0.029700 0.185529
 1.000000 0.029760 0.185900
 1.000000 0.029820 0.186270
 1.000000 0.029880 0.186641
 1.000000 0.029940 0.187011
 1.000000 0.030000 0.187381
 1.000000 0.030060 0.187752
 1.000000 0.030120 0.188122
 1.000000 0.030180 0.188492
 1.000000 0.030240 0.188862
 1.000000 0.030300 0.189233
 1.000000 0.030360 0.189603
 1.000000 0.030420 0.189973
 1.000000 0.030480 0.190343
 1.000000 0.030540 0.190713
 1.000000 0.030600 0.191083
 1.000000 0.030660 0.191453
 1.000000 0.030720 0.191823
 1.000000 0.030780 0.192193
 1.000000 0.030840 0.192563
 1.000000 0.030900 0.192933
 1.000000 0.030960 0.193303
 1.000000 0.031020 0.193673
 1.000000 0.031080 0.194043
 1.000000 0.031140 0.194412
 1.000000 0.031200 0.194782
 1.000000 0.031260 0.195152
 1.000000 0.031320 0.195522
 1.000000 0.031380 0.195891
 1.000000 0.031440 0.196261
 1.000000 0.031500 0.196631
 1.000000 0.031560 0.197000
 1.000000 0.031620 0.197370
 1.000000 0.031680 0.197739
 1.000000 0.031740 0.198109
 1.000000 0.031800 0.198479
 1.000000 0.031860 0.198848
 1.000000 0.031920 0.199217
 1.000000 0.031980 0.199587
 1.000000 0.032040 0.199956
 1.000000 0.032100 0.200326
 1.000000 0.032160 0.200695
 1.000000 0.032220 0.201064
 1.000000 0.032280 0.201434
 1.000000 0.032340 0.201803
 1.000000 0.032400 0.202172
 1.000000 0.032460 0.202541
 1.000000 0.032520 0.202910
 1.000000 0.032580 0.203279
 1.000000 0.032640 0.203649
 1.000000 0.032700 0.204018
 1.000000 0.032760 0.204387
 1.000000 0.032820 0.204756
 1.000000 0.032880 0.205125
 1.000000 0.032940 0.205494
 1.000000 0.033000 0.205863
 1.000000 0.033060 0.206232
 1.000000 0.033120 0.206600
 1.000000 0.033180 0.206969
 1.000000 0.033240 0.207338
 1.000000 0.033300 0.207707
 1.000000 0.033360 0.208076
 1.000000 0.033420 0.208444
 1.000000 0.033480 0.208813
 1.000000 0.033540 0.209182
 1.000000 0.033600 0.209550
 1.000000 0.033660 0.209919
 1.000000 0.033720 0.210287
 1.000000 0.033780 0.210656
 1.000000 0.033840 0.211025
 1.000000 0.033900 0.211393
 1.000000 0.033960 0.211761
 1.000000 0.034020 0.212130
 1.000000 0.034080 0.212498
 1.000000 0.034140 0.212867
 1.000000 0.034200 0.213235
 1.000000 0.034260 0.213603
 1.000000 0.034320 0.213972
 1.000000 0.034380 0.214340
 1.000000 0.034440 0.214708
 1.000000 0.034500 0.215076
 1.000000 0.034560 0.215444
 1.000000 0.034620 0.215813
 1.000000 0.034680 0.216181
 1.000000 0.034740 0.216549
 1.000000 0.034800 0.216917
 1.000000 0.034860 0.217285
 1.000000 0.034920 0.217653
 1.000000 0.034980 0.218021
 1.000000 0.035040 0.218389
 1.000000 0.035100 0.218756
 1.000000 0.035160 0.219124
 1.000000 0.035220 0.219492
 1.000000 0.035280 0.219860
